Count,Asset Material,Asset Diameter,Asset Install Year,BR,LoF Phys,LoF,CoF,Risk,Max CoF Factors,Replace Cost,Asset ID
1,RCP,15,2022,1.1,1,1,1,1,"",$18699,41678
1,RCP,15,2014,1.2,1,1,1,1,"",$28918,60737
1,RCP,15,2013,1.2,1,1,1,1,"",$13818,52685
1,RCP,15,2013,1.2,1,1,1,1,"",$49593,58282
1,RCP,15,2013,1.2,1,5,1,5,"",$3815,59858
1,RCP,15,2012,1.2,1,1,1,1,"",$23780,38649
1,RCP,15,2012,1.2,1,1,1,1,"",$14629,51581
1,RCP,12,2010,1.3,1,1,1,1,"",$9845,38972
1,RCP,12,2010,1.3,1,1,1,1,"",$38606,60248
1,RCP,15,2009,1.3,1,1,1,1,"",$1083,51033
1,RCP,2,2009,1.3,1,2,1,2,"",$27855,59704
1,RCP,15,2007,1.3,1,1,1,1,"",$66862,43190
1,RCP,15,2006,1.4,1,1,1,1,"",$4314,47656
1,RCP,15,2006,1.4,1,1,1,1,"",$61755,48428
1,RCP,15,2006,1.4,1,1,1,1,"",$37906,59460
1,RCP,15,2005,1.4,1,1,1,1,"",$63641,41258
1,RCP,15,2005,1.4,1,1,1,1,"",$72323,49746
1,RCP,15,2005,1.4,1,1,1,1,"",$65469,49747
1,RCP,15,2005,1.4,1,1,1,1,"",$22596,51540
1,RCP,14,2005,1.4,1,5,1,5,"",$24452,49442
1,RCP,15,2004,1.4,1,5,1,5,"",$9678,41352
1,RCP,15,2000,1.5,1,1,1,1,"",$26864,43384
1,RCP,15,1998,1.5,1,1,1,1,"",$45084,55850
1,RCP,15,1997,1.6,1,1,1,1,"",$33484,39512
1,RCP,15,1997,1.6,1,1,1,1,"",$35532,40969
1,RCP,15,1997,1.6,1,1,1,1,"",$3884,55646
1,CP,12,1995,1.6,1,1,1,1,"",$12463,45215
1,RCP,15,1995,1.6,1,1,1,1,"",$5499,38780
1,RCP,15,1995,1.6,1,1,1,1,"",$6557,40051
1,RCP,15,1995,1.6,1,1,1,1,"",$7749,41326
1,RCP,15,1995,1.6,1,1,1,1,"",$5768,44716
1,RCP,15,1995,1.6,1,1,1,1,"",$3648,45504
1,RCP,15,1995,1.6,1,1,1,1,"",$10629,46694
1,RCP,15,1995,1.6,1,1,1,1,"",$5560,47371
1,RCP,15,1995,1.6,1,1,1,1,"",$12645,47397
1,RCP,15,1995,1.6,1,1,1,1,"",$4416,47774
1,RCP,15,1995,1.6,1,1,1,1,"",$10089,48843
1,RCP,15,1995,1.6,1,1,1,1,"",$6943,48847
1,RCP,15,1995,1.6,1,1,1,1,"",$7637,56916
1,RCP,15,1995,1.6,1,1,1,1,"",$6045,58114
1,RCP,15,1995,1.6,1,5,1,5,"",$6454,48842
1,RCP,15,1992,1.7,1,1,1,1,"",$61432,51354
1,RCP,15,1992,1.7,1,1,1,1,"",$60129,51355
1,CP,12,1990,1.7,1,1,1,1,"",$14033,38537
1,CP,12,1990,1.7,1,1,1,1,"",$8483,38546
1,CP,12,1990,1.7,1,1,1,1,"",$101187,38565
1,CP,12,1990,1.7,1,1,1,1,"",$7332,38572
1,CP,12,1990,1.7,1,1,1,1,"",$7835,38573
1,CP,12,1990,1.7,1,1,1,1,"",$12002,38574
1,CP,12,1990,1.7,1,1,1,1,"",$6666,38575
1,CP,12,1990,1.7,1,1,1,1,"",$4985,38576
1,CP,12,1990,1.7,1,1,1,1,"",$29078,38591
1,CP,12,1990,1.7,1,1,1,1,"",$15121,38592
1,CP,12,1990,1.7,1,1,1,1,"",$7021,38610
1,CP,12,1990,1.7,1,1,1,1,"",$78715,38627
1,CP,10,1990,1.7,1,1,1,1,"",$3831,38655
1,CP,12,1990,1.7,1,1,1,1,"",$62087,38663
1,CP,12,1990,1.7,1,1,1,1,"",$7597,38671
1,CP,12,1990,1.7,1,1,1,1,"",$10134,38675
