Count,Install Year,Diameter,Material,Max CoF Factors,CoF,LoF,Risk Score,Asset ID
1,1990,15,RCP,Rail,5,5,25,40548
1,1990,18,RCP,Rail,5,5,25,41413
1,1990,15,VCP,Rail,5,5,25,44354
1,1990,15,RCP,Rail,5,5,25,44552
1,1990,15,RCP,Rail,5,5,25,52026
1,1990,18,RCP,Rail,5,5,25,52142
1,1990,15,RCP,Rail,5,5,25,55912
1,1990,18,RCP,Rail,5,5,25,57794
1,1990,15,VCP,Rail,5,5,25,61384
1,1990,18,RCP,Road,5,5,25,39184
1,1990,18,RCP,Road,5,5,25,39539
1,1990,18,RCP,Road,5,5,25,40117
1,1990,18,RCP,Road,5,5,25,42961
1,1990,18,RCP,Road,5,5,25,43345
1,1990,18,RCP,Road,5,5,25,45330
1,1990,18,RCP,Road,5,5,25,46572
1,1990,15,RCP,Road,5,5,25,46739
1,1990,18,RCP,Road,5,5,25,46989
1,1990,18,RCP,Road,5,5,25,48502
1,1990,18,RCP,Road,5,5,25,49548
1,1990,15,RCP,Road,5,5,25,50683
1,1990,18,RCP,Road,5,5,25,50696
1,1990,18,RCP,Road,5,5,25,50724
1,1990,18,RCP,Road,5,5,25,52649
1,1990,18,RCP,Road,5,5,25,52650
1,1990,18,RCP,Road,5,5,25,53165
1,1990,18,RCP,Road,5,5,25,53173
1,1990,18,RCP,Road,5,5,25,54363
1,1990,18,RCP,Road,5,5,25,56543
1,1990,18,RCP,Road,5,5,25,57738
1,1990,18,RCP,Road,5,5,25,58317
1,1990,18,RCP,Road,5,5,25,59033
1,1990,18,RCP,Road,5,5,25,59059
1,1990,15,UNK,Road,5,5,25,60894
1,1990,18,RCP,"Road, Rail",5,5,25,61287
1,1990,18,RCP,Water,5,5,25,39191
1,1990,18,RCP,Water,5,5,25,39343
1,1990,18,RCP,Water,5,5,25,39786
1,1990,15,RCP,Water,5,5,25,42920
1,1990,15,CMP,Water,5,5,25,42966
1,1990,18,RCP,Water,5,5,25,43205
1,1990,18,RCP,Water,5,5,25,43373
1,1990,18,RCP,Water,5,5,25,44458
1,1990,18,RCP,Water,5,5,25,44579
1,1990,18,RCP,Water,5,5,25,44833
1,1990,18,RCP,Water,5,5,25,44881
1,1990,18,RCP,Water,5,5,25,49772
1,1965,8,DIP,Water,5,5,25,50827
1,1990,15,RCP,Water,5,5,25,52718
1,1990,18,RCP,Water,5,5,25,54319
1,1990,16,CMP,Water,5,5,25,55479
1,1990,18,CMP,Water,5,5,25,57844
1,1990,18,RCP,Water,5,5,25,60745
1,1990,15,RCP,Water,5,5,25,60893
1,1990,18,RCP,Water,5,5,25,61490
1,1990,15,RCP,Buildings,4,5,20,39635
1,1990,15,RCP,Buildings,4,5,20,42573
1,1990,18,RCP,Buildings,4,5,20,55056
1,1990,18,RCP,Customer,4,5,20,39666
1,2002,48,RCP,Diameter,4,5,20,55748
1,1990,18,CIPP,Rail,4,5,20,51925
1,1990,15,RCP,Rail,4,5,20,56384
1,1990,15,RCP,Rail,4,5,20,60595
1,1990,15,RCP,Rail,4,5,20,60782
1,1990,12,CP,Rail,4,5,20,60784
1,1990,18,RCP,Rail,4,5,20,61259
1,1965,18,DIP,Road,4,5,20,40451
1,1990,18,RCP,Road,4,5,20,40820
1,1965,10,DIP,Road,4,5,20,44240
1,1990,16,UNK,Road,4,5,20,47181
1,1990,18,RCP,Road,4,5,20,48790
1,1965,12,DIP,Road,4,5,20,50117
1,1990,18,RCP,Road,4,5,20,50327
1,1965,12,DIP,Road,4,5,20,54374
1,1990,18,RCP,Road,4,5,20,55240
1,1990,18,RCP,Road,4,5,20,55698
1,1990,18,RCP,Road,4,5,20,57655
1,1965,10,DIP,Road,4,5,20,57683
1,1990,18,RCP,Road,4,5,20,58703
1,1990,18,RCP,Road,4,5,20,61253
1,1990,18,CMP,Water,4,5,20,40211
1,1990,18,RCP,Water,4,5,20,41398
1,1990,18,RCP,Water,4,5,20,42704
1,1990,18,RCP,Water,4,5,20,42993
1,1990,18,CMP,Water,4,5,20,43894
1,1990,14,RCP,Water,4,5,20,44016
1,1990,18,RCP,Water,4,5,20,49366
1,1990,18,RCP,Water,4,5,20,49576
1,1990,18,RCP,Water,4,5,20,50092
1,1990,15,RCP,Water,4,5,20,50509
1,1990,15,RCP,Water,4,5,20,50746
1,1990,18,RCP,Water,4,5,20,52957
1,1990,12,CP,Water,4,5,20,53441
1,1990,18,RCP,Water,4,5,20,53794
1,1990,15,RCP,Water,4,5,20,54990
1,1990,18,RCP,Water,4,5,20,56346
1,1996,18,RCP,Water,4,5,20,59654
1,1990,15,RCP,Water,4,5,20,59885
1,1990,15,RCP,Water,4,5,20,59886
1,1965,42,DIP,Water,4,5,20,60720
1,1990,24,RCP,Rail,5,4,20,43772
1,1990,24,CIPP,Rail,5,4,20,44260
1,1990,24,RCP,Rail,5,4,20,48398
1,1990,24,RCP,Rail,5,4,20,50961
1,1995,24,HDPE,Rail,5,4,20,52627
1,1990,24,RCP,Rail,5,4,20,58320
1,1990,30,RCP,Rail,5,4,20,58898
1,1990,30,RCP,Rail,5,4,20,61102
1,1990,24,RCP,Rail,5,4,20,61265
1,1990,24,RCP,"Rail, Water",5,4,20,54690
1,1990,24,RCP,Road,5,4,20,38986
1,1990,24,RCP,Road,5,4,20,38991
1,1990,24,RCP,Road,5,4,20,39668
1,1990,24,RCP,Road,5,4,20,40243
1,1990,30,RCP,Road,5,4,20,40420
1,1990,30,RCP,Road,5,4,20,42991
1,1990,30,RCP,Road,5,4,20,46569
1,1990,30,RCP,Road,5,4,20,53835
1,1990,24,RCP,Road,5,4,20,53911
1,2008,24,RCP,Water,5,4,20,45425
1,1990,30,RCP,Water,5,4,20,48718
1,1990,24,RCP,Water,5,4,20,49964
1,1990,24,RCP,Water,5,4,20,54479
1,1990,24,RCP,Water,5,4,20,55959
1,1990,24,RCP,Water,5,4,20,56700
1,1990,24,RCP,Buildings,4,4,16,42969
1,1990,30,RCP,Buildings,4,4,16,54090
1,1990,30,RCP,Buildings,4,4,16,58738
1,1990,24,CIPP,Rail,4,4,16,47027
1,1990,24,RCP,Rail,4,4,16,49336
1,1990,24,RCP,Rail,4,4,16,50679
1,1990,24,RCP,Road,4,4,16,42217
1,1990,24,RCP,Road,4,4,16,42849
1,1990,24,RCP,Road,4,4,16,49836
1,1990,24,RCP,Road,4,4,16,50115
1,1990,24,RCP,Road,4,4,16,55390
1,1990,30,RCP,Water,4,4,16,40780
1,1990,30,RCP,Water,4,4,16,42782
1,1990,24,RCP,Water,4,4,16,43058
1,1990,24,RCP,Water,4,4,16,43479
1,1990,24,RCP,Water,4,4,16,45549
1,1990,30,RCP,Water,4,4,16,45875
1,1990,24,RCP,Water,4,4,16,48629
1,1990,24,UNK,Water,4,4,16,48720
1,1990,24,RCP,Water,4,4,16,49950
1,1990,24,UNK,Water,4,4,16,50844
1,1990,24,CMP,Water,4,4,16,53624
1,1990,24,CMP,Water,4,4,16,53930
1,1990,24,RCP,Water,4,4,16,54253
1,1990,24,RCP,Water,4,4,16,54709
1,1990,30,RCP,Water,4,4,16,58742
1,1990,30,RCP,Water,4,4,16,59238
1,1990,24,RCP,Water,4,4,16,60261
1,2005,18,RCP,Buildings,3,5,15,40438
1,1990,12,CP,Buildings,3,5,15,51406
1,1990,12,CP,Buildings,3,5,15,60532
1,1990,12,CP,Buildings,3,5,15,60802
1,1965,42,DIP,Diameter,3,5,15,60721
1,1965,42,DIP,Diameter,3,5,15,60722
1,1965,42,DIP,Diameter,3,5,15,60723
1,1965,18,DIP,Rail,3,5,15,52081
1,1965,18,DIP,Rail,3,5,15,60678
1,1965,18,DIP,Rail,3,5,15,60679
1,1990,18,RCP,Rail,3,5,15,61260
1,1990,18,RCP,Rail,3,5,15,61279
1,1990,15,RCP,Water,3,5,15,40475
1,1990,18,RCP,Water,3,5,15,42240
1,1990,12,PVC,Water,3,5,15,43577
1,1990,15,RCP,Water,3,5,15,46393
1,1990,15,RCP,Water,3,5,15,47202
1,1990,18,RCP,Water,3,5,15,47251
1,1990,12,CP,Water,3,5,15,51625
1,1990,15,RCP,Water,3,5,15,52832
1,1990,15,RCP,Water,3,5,15,55125
1,2003,18,RCP,Water,3,5,15,56336
1,1990,18,RCP,Water,3,5,15,60648
1,1990,18,RCP,"Water, Buildings",3,5,15,38931
1,1950,72,CP,Diameter,5,3,15,39251
1,1950,72,CP,Diameter,5,3,15,40967
1,1950,72,CP,Diameter,5,3,15,45116
1,1950,72,CP,Diameter,5,3,15,49079
1,1950,72,CP,Diameter,5,3,15,49138
